stance,statement
strongly object,I strongly oppose this policy and believe it would cause serious harm.
strongly object,This policy is fundamentally wrong and should not be adopted.
strongly object,I unequivocally reject this policy.
strongly object,This is a deeply misguided policy that must be stopped.
strongly object,I am firmly against this policy in any form.
strongly object,This policy represents a major step in the wrong direction.
strongly object,I cannot support this policy under any circumstances.
strongly object,This proposal is unacceptable and should be abandoned.
strongly object,I strongly object to this policy and will work to block it.
strongly object,"This policy would do more harm than good, and I strongly oppose it."
object,I oppose this policy and do not believe it is the right approach.
object,I have serious concerns about this policy and cannot support it.
object,This policy misses the mark and should not move forward.
object,I’m not in favor of this policy as currently proposed.
object,I object to this policy and think better alternatives exist.
object,This policy raises too many problems for me to support it.
object,I do not support this policy in its current form.
object,I’m skeptical of this policy and oppose moving ahead with it.
object,I can’t back this policy because of its likely consequences.
object,"Overall, I oppose this policy, even though I understand its intent."
neutral,I see arguments on both sides of this policy.
neutral,I’m undecided and think this issue deserves careful consideration.
neutral,I don’t have a strong position on this policy at this time.
neutral,This policy involves real tradeoffs that need to be weighed carefully.
neutral,I’m open-minded about this policy and still evaluating it.
neutral,There are both benefits and drawbacks to this proposal.
neutral,I think reasonable people can disagree on this policy.
neutral,I’m taking a wait-and-see approach on this issue.
neutral,I don’t feel strongly one way or the other about this policy.
neutral,This is a complex issue without an easy answer.
support,I support this policy and believe it moves us in the right direction.
support,This policy is worth supporting as a constructive step forward.
support,I’m in favor of this policy and think it will have positive effects.
support,I support moving ahead with this policy.
support,This is a sensible policy that deserves support.
support,I believe this policy is a good idea overall.
support,"I’m supportive of this approach, even if it can be improved."
support,This policy has merit and I support it.
support,I generally favor this policy and its goals.
support,I support this proposal as a reasonable solution.
strongly support,I strongly support this policy and believe it is essential.
strongly support,This policy is absolutely the right move and I fully back it.
strongly support,I enthusiastically support this policy.
strongly support,I firmly believe this policy should be adopted.
strongly support,This policy has my full and unwavering support.
strongly support,I strongly favor this policy and will actively advocate for it.
strongly support,This is a critical policy that I strongly support.
strongly support,I fully endorse this policy and its objectives.
strongly support,I’m a strong supporter of this policy and its implementation.
strongly support,This policy represents exactly the kind of action we should be taking.
