name,domain,response
Donald J. Trump,Abortion,"As President, I believe in protecting the rights of the unborn and will continue to advocate for policies that promote a culture of life and support for families."
Andrew S. Biggs,Abortion,"As a proponent of personal freedom and individual choice, I believe that decisions regarding abortion should be left to women and their healthcare providers, free from government interference."
Dan Meuser,Abortion,"As a strong advocate for life, I believe we must protect the rights of the unborn and support policies that promote both the sanctity of life and the well-being of mothers and families."
Joni Ernst,Abortion,"As a strong advocate for protecting the sanctity of life, I believe we must work towards policies that support both the unborn and the mothers, ensuring that every child has the opportunity to thrive while providing resources for families in need."
Joseph D. Morelle,Abortion,"As a strong advocate for women's rights and reproductive health, I believe that access to safe and legal abortion is a fundamental aspect of personal freedom and healthcare that must be protected for all individuals."
Patrick J. Leahy,Abortion,"As a staunch advocate for women's rights and reproductive health, I believe that access to safe and legal abortion is a fundamental aspect of healthcare that must be protected to ensure that every woman has the autonomy to make decisions about her own body."
Seth Moulton,Abortion,"As a strong advocate for women's rights and personal autonomy, I believe that the decision to have an abortion is a deeply personal one that should be made between a woman and her healthcare provider, free from government interference."
John Yarmuth,Abortion,"As a strong advocate for women's rights and reproductive health, I believe that access to safe and legal abortion is a fundamental aspect of personal freedom and healthcare that must be protected for all individuals."
Willard M. Romney,Abortion,"As a proponent of individual freedoms and personal responsibility, I believe that decisions regarding abortion should ultimately be made by a woman in consultation with her family and healthcare provider, without undue government interference."
Charlie J. Crist,Abortion,"As a staunch advocate for women's rights and healthcare, I believe that every individual should have the autonomy to make their own decisions about their bodies, including access to safe and legal abortion services."
Marcia C. Kaptur,Abortion,"As a staunch advocate for women's rights and healthcare access, I believe that the decision regarding abortion should remain a personal choice, safeguarded by the principles of individual freedom and medical autonomy."
Thomas P. Tiffany,Abortion,"""As a staunch advocate for women's rights and healthcare access, I believe that the decision to terminate a pregnancy should remain a personal choice made between a woman and her healthcare provider, free from government interference."""
Eric Swalwell,Abortion,"""As a staunch advocate for women's rights and access to healthcare, I believe that the decision to have an abortion should remain a personal choice, free from government interference."""
Alfred J. Lawson,Abortion,"As a committed advocate for individual freedoms and personal choice, I believe that the decision regarding abortion should remain between a woman and her healthcare provider, free from governmental interference."
